C_net,C_avg,max_diam,avg_diam
0.0,0.0,0,0.0
1.0,1.0,1,1.0
0.6,0.7587301587301587,2,1.4444444444444444
0.5294117647058824,0.6571428571428571,3,1.9
0.5,0.6022857142857143,4,2.36
0.4838709677419355,0.5682539682539682,5,2.8222222222222224
0.47368421052631576,0.5451895043731778,6,3.2857142857142856
0.4666666666666667,0.5285714285714286,7,3.75
0.46153846153846156,0.5160493827160494,8,4.214814814814815
0.4576271186440678,0.5062857142857142,9,4.68
0.45454545454545453,0.4984651711924439,10,5.1454545454545455
0.4520547945205479,0.492063492063492,11,5.611111111111111
0.45,0.48672865595942516,12,6.076923076923077
0.4482758620689655,0.4822157434402332,13,6.542857142857143
0.44680851063829785,0.4783492063492063,14,7.0088888888888885
0.44554455445544555,0.475,15,7.475
0.4444444444444444,0.47207118141374194,16,7.9411764705882355
0.4434782608695652,0.46948853615520275,17,8.407407407407407
0.4426229508196721,0.46719430154333197,18,8.873684210526315
0.4418604651162791,0.46514285714285714,19,9.34
0.4411764705882353,0.4632977000323939,20,9.806349206349207
0.4405594405594406,0.46162927981109797,21,10.272727272727273
0.44,0.4601134215500945,22,10.73913043478261
0.4394904458598726,0.45873015873015865,23,11.205555555555556
0.43902439024390244,0.4574628571428571,24,11.672
0.43859649122807015,0.4562975486052409,25,12.138461538461538
0.43820224719101125,0.4552224181853811,26,12.604938271604938
0.43783783783783786,0.4542274052478134,27,13.071428571428571
0.4375,0.4533038899269577,28,13.537931034482758
0.4371859296482412,0.4524444444444444,29,14.004444444444445
0.4368932038834951,0.4516426341608443,30,14.470967741935484
0.43661971830985913,0.4508928571428571,31,14.9375
0.43636363636363634,0.4501902138265774,32,15.404040404040405
0.43612334801762115,0.4495304003954523,33,15.870588235294118
0.4358974358974359,0.44890962099125364,34,16.337142857142858
0.43568464730290457,0.4483245149911816,35,16.803703703703704
0.43548387096774194,0.44777209642074506,36,17.27027027027027
0.43529411764705883,0.4472497032053819,37,17.736842105263158
0.4351145038167939,0.44675495444726215,38,18.203418803418803
0.4349442379182156,0.4462857142857143,39,18.67
0.43478260869565216,0.4458400611880683,40,19.13658536585366
0.43462897526501765,0.4454162617427923,41,19.603174603174605
0.43448275862068964,0.4450127482036622,42,20.069767441860463
0.43434343434343436,0.44462809917355367,43,20.536363636363635
0.4342105263157895,0.44426102292768954,44,21.002962962962965
0.4340836012861736,0.44391034296516335,45,21.469565217391306
0.4339622641509434,0.4435749854491366,46,21.93617021276596
0.4338461538461538,0.44325396825396823,47,22.40277777777778
0.43373493975903615,0.44294639138454217,48,22.86938775510204
