N,model,p,L,mean_degree,std_degree,relative_variability,clustering,average_shortest_path,connected
10,BA,,24,4.8,1.4000000000000001,0.2916666666666667,0.504950495049505,1.488888888888889,True
10,Poisson,0.8888888888888888,37,7.4,1.1135528725660042,0.1504801179143249,0.8024691358024691,1.1777777777777778,True
20,BA,,64,6.4,2.782085548648711,0.43470086697636107,0.375886524822695,1.7210526315789474,True
20,Poisson,0.42105263157894735,87,8.7,1.452583904633395,0.16696366719924083,0.4384949348769899,1.5421052631578946,True
100,BA,,384,7.68,5.912495243127049,0.7698561514488346,0.12311616044516578,2.357979797979798,True
100,Poisson,0.08080808080808081,400,8.0,3.0397368307141326,0.3799671038392666,0.0947271612507664,2.441010101010101,True
200,BA,,784,7.84,6.796646231782261,0.8669191622171252,0.08264876778200761,2.623316582914573,True
200,Poisson,0.04020100502512563,788,7.88,2.7304944607158608,0.34650944932942396,0.03988973568996271,2.7849748743718594,True
1000,BA,,3984,7.968,8.08844706974089,1.0151163491140676,0.021629845217621377,3.214866866866867,True
1000,Poisson,0.008008008008008008,3952,7.904,2.766366570069845,0.34999577050478814,0.008100028928674745,3.5773030514388857,False
